Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.8035490371697268,0.8326792019049183,0.8732777624689997,0.6740145891988738,0.8524953975739541
GNB,0.7116883116883117,0.7314016442751153,0.8794605952052907,0.40001919631430766,0.7986268591357658
XGB,0.8898119122257053,0.8905500842296229,0.9468689721686415,0.7838175070386486,0.9178464106844741
LOG,0.7190998656515898,0.7382583311656407,0.8798222650868007,0.42052725876631686,0.8028476685892096
ENSPxa,0.9463837886251679,0.9552562765975628,0.962610223201984,0.9162400819042744,0.9589191507613125
