Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.8047935522991262,0.8258987204649589,0.8874524446101185,0.650329612720376,0.8555281947056754
GNB,0.713658112694459,0.7334017085133,0.8804512662631808,0.4020456987514899,0.800225233925771
XGB,0.8896594042906948,0.8890391714481112,0.9490582741221782,0.7786743610904685,0.9180655814522808
LOG,0.721042814699495,0.7400661507181515,0.8812621612915997,0.42170944248119274,0.8045143685313935
Ensemble_Avg,0.9455842949021331,0.9535377765544066,0.9634017215849223,0.9122894914225744,0.9584438582744955
