Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.9442454097626511,0.9560324387478093,0.9583046293744834,0.9181277194778602,0.9571671855916605
GNB,0.6908307210031348,0.7964791338045997,0.7043951501791127,0.6656321986178654,0.7476123017867751
XGB,0.9537281683833408,0.9565703255955706,0.9729953155139157,0.9179357563347837,0.9647129135538954
LOG,0.7374160322436184,0.7630338957288342,0.8645632405621383,0.501215766572818,0.810631873011772
ENSPxa,0.9504590237348858,0.9580536626189134,0.9660891430146046,0.9214230867673406,0.9620546241907131
