Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.9441982663095173,0.9544672256548029,0.9601335513944391,0.9144129356094612,0.9572903848459384
GNB,0.6935237209399057,0.7993546230589127,0.7069269591904881,0.6684819616686317,0.7503043462380761
XGB,0.952877189979187,0.9560561922878534,0.9723474525886294,0.9164988911674039,0.9641328906017353
LOG,0.7394082858950936,0.7647753869497713,0.8664135740777714,0.5021268135645667,0.8124270474024111
Ensemble_Avg,0.9501723031634997,0.9582242685125131,0.9655995476496239,0.9213486053098036,0.9618976380647453
