Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.9411149628246175,0.9582581311681885,0.9510228893885998,0.9226002163210506,0.954626611471768
GNB,0.664134948773229,0.7064201053941052,0.8287947479680939,0.35649595158683456,0.7627280652381428
XGB,0.9426375820260351,0.9449673374193213,0.9683305272908029,0.8946258892324265,0.9565046207340393
LOG,0.695147107565823,0.7134886867451758,0.8889422936175013,0.3330795615132088,0.7916093969741198
Ensemble_Avg,0.9422143836063182,0.9513516517305431,0.96041292319245,0.9082020570475351,0.9558523671563153
