Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.9418047469771608,0.9593847758081335,0.9507267842380821,0.9252303557716919,0.9550361579184111
GNB,0.6605575459023735,0.7037945674369408,0.825089556351612,0.35490785769132327,0.7596305545645539
XGB,0.9441110613524407,0.9459382247168353,0.969430283824745,0.8970757614538009,0.9575401888236795
LOG,0.6940103000447828,0.7118552934526353,0.8892429043813723,0.3313283849500896,0.790722604654012
ENSPxa,0.9432266009852217,0.9545555917723147,0.9582874069991734,0.9152482723317124,0.9564178591379829
