Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.7239290717686904,0.7529193405265628,0.857632990018957,0.47408032962070734,0.8018567413107289
GNB,0.68409916482195,0.7213651559889879,0.8391410406927251,0.3944381441331958,0.775807480963492
XGB,0.7817303698648228,0.7962433335734008,0.8935719421813315,0.5727824589847229,0.8421013147880678
LOG,0.6886513505006713,0.7070803782191788,0.8911927794813905,0.3102436273838983,0.7885314084678364
Ensemble_Avg,0.8739137345146318,0.8870765819950959,0.9240605239627886,0.7802260189720357,0.9051902382420467
