Model,Accuracy,Precision,Recall,Specificity,F1-Score
ADA,0.7243394536497985,0.7569378284520114,0.8483742077707357,0.4939211671359099,0.8000519725195303
GNB,0.6805866547245858,0.7184467455621302,0.8364391016809039,0.39106091630406964,0.7729660045836516
XGB,0.7811240483654277,0.7957519351271655,0.8923429319371727,0.5745136933708728,0.8412840163668247
LOG,0.6861845051500224,0.7047474912739965,0.8902073573987325,0.3071730227796263,0.7866948739802752
ENSPxa,0.8731974921630095,0.8853854018932023,0.924634885643428,0.7776426926030202,0.9045845899816347
